"Start Time","Track","Series","Hosted Session Name"
"2020.11.29 11:25 AM GMT","Sebring International Raceway - International","Hosted iRacing","24HE / Round 2 / Race"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Club ID","Club","Max Fuel Fill%","Weight Penalty (KG)","Session Name"
"34","112","Audi RS 3 LMS","1450","Audi RS 3 LMS","-187813","46785","Alessandro Bacchilega","44","113","0","Running","-","0","","2:16.634","2:14.285","60","76","11","41","Italy","100","0","24HE / Round 2 / Race"
"34","112","Audi RS 3 LMS","1450","Audi RS 3 LMS","-187813","310046","Omar Chammà","44","113","0","Running","-","0","","2:16.627","2:14.457","152","83","15","41","Italy","100","0","24HE / Round 2 / Race"
"35","112","Audi RS 3 LMS","1450","Audi RS 3 LMS","-137263","-137263","MSI eSports - TCR","52","144","0","Running","-17 L","0","","2:15.969","2:14.437","59","159","30","","","100","0","24HE / Round 2 / Race"
"35","112","Audi RS 3 LMS","1450","Audi RS 3 LMS","-137263","128870","Víctor Lobato","52","144","0","Running","-","0","","2:15.851","2:14.437","59","80","11","38","Iberia","100","0","24HE / Round 2 / Race"
"35","112","Audi RS 3 LMS","1450","Audi RS 3 LMS","-137263","214075","David P Pérez","52","144","0","Running","-","0","","2:16.086","2:14.521","94","79","19","1","International Club","100","0","24HE / Round 2 / Race"
"36","112","Audi RS 3 LMS","1450","Audi RS 3 LMS","-134159","-134159","Frozenspeed Full Send Racing","43","185","0","Running","-17 L","0","","2:15.908","2:14.172","26","159","32","","","100","0","24HE / Round 2 / Race"
"36","112","Audi RS 3 LMS","1450","Audi RS 3 LMS","-134159","158260","Lars Bol","43","185","0","Running","-","0","","2:15.889","2:14.172","26","78","11","42","DE-AT-CH","100","0","24HE / Round 2 / Race"
"36","112","Audi RS 3 LMS","1450","Audi RS 3 LMS","-134159","266262","Steen Ledger","43","185","0","Running","-","0","","2:15.926","2:14.473","67","81","21","36","UK and I","100","0","24HE / Round 2 / Race"
"37","112","Audi RS 3 LMS","1450","Audi RS 3 LMS","-196260","-196260","Puresims Esports","46","116","0","Running","-18 L","0","","2:16.055","2:14.335","35","158","26","","","100","0","24HE / Round 2 / Race"
"37","112","Audi RS 3 LMS","1450","Audi RS 3 LMS","-196260","131793","David E Baker","46","116","0","Running","-","0","","2:16.552","2:14.335","35","79","13","36","UK and I","100","0","24HE / Round 2 / Race"
"37","112","Audi RS 3 LMS","1450","Audi RS 3 LMS","-196260","261168","Ross Macfarlane3","46","116","0","Running","-","0","","2:15.551","2:14.508","63","79","13","36","UK and I","100","0","24HE / Round 2 / Race"
"38","112","Audi RS 3 LMS","1450","Audi RS 3 LMS","-54386","-54386","Team Heusinkveld #148","48","148","0","Running","-18 L","0","","2:16.133","2:14.343","11","158","17","","","100","0","24HE / Round 2 / Race"
"38","112","Audi RS 3 LMS","1450","Audi RS 3 LMS","-54386","94716","Michael Schoettler","48","148","0","Running","-","0","","2:16.165","2:14.343","11","79","10","42","DE-AT-CH","100","0","24HE / Round 2 / Race"
